date,btc_open_intraday,btc_close_intraday,btc_close_et,btc_prev_close_et,ret_close_close,ret_intraday,ret_overnight,rv_intraday,rv_overnight
2024-06-17,65609.49,66751.24,66751.24,66562.52,0.0028312175136561406,0.017252523765568233,-0.014421306251912092,0.00021623127920951737,0.0004819629600875027
2024-06-18,64822.01,64326.43,64326.43,66751.24,-0.037002285107213394,-0.007674617400863887,-0.02932766770634951,0.0003660797364459154,0.0003647957848304698
2024-06-19,65156.02,64909.99,64909.99,64326.43,0.009030952206272848,-0.0037831604650273194,0.012814112671300167,5.9717731537157074e-05,0.00016667619318128373
2024-06-20,65274.02,65080.13,65080.13,64909.99,0.0026177389044310566,-0.002974821177335171,0.005592560081766227,0.00015259290207082413,0.00018874983218393037
2024-06-21,63608.01,64349.99,64349.99,65080.13,-0.011282501248361203,0.011597372829868965,-0.022879874078230167,0.00018794299514565297,0.0002287637524338195
2024-06-22,64292.71,64301.23,64301.23,64349.99,-0.0007580184989268326,0.00013251013247549676,-0.0008905286314023294,6.42495321713427e-06,3.7846544071890124e-05
2024-06-23,64298.73,64152.01,64152.01,64301.23,-0.0023233367585403617,-0.0022844564976084738,-3.888026093188789e-05,2.0633876362184864e-05,0.00016151386662906843
2024-06-24,61280.0,59572.15,59572.15,64152.01,-0.07406724040259141,-0.02826534245042632,-0.04580189795216509,0.0005064923235121072,0.000685895539359156
2024-06-25,61182.02,62075.95,62075.95,59572.15,0.04117045236287474,0.014505279841163413,0.026665172521711328,0.00024574056240313214,0.0002500128603199629
2024-06-26,61501.06,61024.01,61024.01,62075.95,-0.017091242056836334,-0.007787017148347661,-0.009304224908488673,0.00017376996793094844,0.0001773287862089059
2024-06-27,61630.0,61484.02,61484.02,61024.01,0.0075099103625644835,-0.002371461323639295,0.009881371686203778,0.00012951480649407764,0.00021203931685530845
2024-06-28,61466.03,60203.19,60203.19,61484.02,-0.02105196270643681,-0.020759323539093873,-0.00029263916734293544,0.00018854515335935454,0.00016687630126434192
2024-06-29,61071.35,61036.01,61036.01,60203.19,0.013738676923135195,-0.0005788349037554681,0.014317511826890663,1.9439978881603045e-05,6.06501124699326e-05
